Ngày,Khung giờ,Địa điểm,Tỉnh thành phố,Hoạt động,Chi phí
05/12/2024,7h-8h,Khách sạn La Sinfonía del Rey Hotel & Spa,Hà Nội,Ăn sáng,200000
05/12/2024,9h-11h,Chợ Đồng Văn,Hà Giang,Tham quan,0
05/12/2024,12h-13h,Quán ăn Khám Phá Món Ngon Hà Giang,Hà Giang,Ăn trưa,150000
05/12/2024,14h-16h,Làng Lũng Cú,Hà Giang,Tham quan,100000
05/12/2024,16h-17h,Quán Cà Phê Hồi,Hà Giang,Uống cà phê,50000
05/12/2024,18h-20h,Nhà hàng Ngọc Đường,Hà Giang,Ăn tối,200000
05/12/2024,20h+,Homestay Hà Giang,Hà Giang,Nghỉ ngơi,0
06/12/2024,7h-8h,Homestay Hà Giang,Hà Giang,Ăn sáng,200000
06/12/2024,9h-11h,Thác Nước Thanh Minh,Hà Giang,Tham quan,0
06/12/2024,12h-13h,Quán Ăn Ngon Hà Giang,Hà Giang,Ăn trưa,150000
06/12/2024,14h-16h,Chợ Phiên Hà Giang,Hà Giang,Tham quan,100000
06/12/2024,16h-17h,Quán Cà Phê Đồi Thông,Hà Giang,Uống cà phê,50000
06/12/2024,18h-20h,Nhà hàng Hà Giang Xưa,Hà Giang,Ăn tối,200000
06/12/2024,20h+,Homestay Hà Giang,Hà Giang,Nghỉ ngơi,0
07/12/2024,7h-8h,Homestay Hà Giang,Hà Giang,Ăn sáng,200000
07/12/2024,9h-11h,Đồi Cô Tô,Hà Giang,Tham quan,500000
07/12/2024,12h-13h,Nhà Hàng Sơn Động,Hà Giang,Ăn trưa,100000
07/12/2024,14h-16h,Núi Cô Tiên,Hà Giang,Tham quan,100000
07/12/2024,16h-17h,Quán Cà Phê Mây Cao,Hà Giang,Uống cà phê,50000
07/12/2024,18h-20h,Nhà hàng Hồ Bản,Hà Giang,Ăn tối,200000
07/12/2024,20h+,Homestay Hà Giang,Hà Giang,Nghỉ ngơi,0
