Ngày,Khung giờ,Địa điểm,Tỉnh thành phố,Hoạt động,Chi phí,Thể loại
5 December 2024,7:00 AM - 8:00 AM,Bún Chả Hương Liên,Hà Nội,Eating breakfast,40000,Nature Exploration
5 December 2024,8:30 AM - 12:00 PM,Hội An Ancient Town,Quảng Nam,Exploring the historic town,0,Nature Exploration
5 December 2024,12:30 PM - 1:30 PM,Morning Glory Restaurant,Quảng Nam,Eating lunch,150000,Nature Exploration
5 December 2024,2:00 PM - 5:30 PM,An Bang Beach,Quảng Nam,Relaxing at the beach,0,Nature Exploration
5 December 2024,6:00 PM - 7:00 PM,The Cargo Club,Quảng Nam,Dinner with a view,200000,Nature Exploration
5 December 2024,9:00 PM - Overnight,Hoi An Garden Palace & Spa,Quảng Nam,Resting at the hotel,250000,Nature Exploration
6 December 2024,7:00 AM - 8:00 AM,Reaching Out Tea House,Quảng Nam,Morning tea,50000,Nature Exploration
6 December 2024,9:00 AM - 12:00 PM,Tra Que Vegetable Village,Quảng Nam,Exploring the herb village,100000,Nature Exploration
6 December 2024,12:30 PM - 1:30 PM,Nu Eatery,Quảng Nam,Eating lunch,80000,Nature Exploration
6 December 2024,2:00 PM - 5:30 PM,Cam Thanh Coconut Village,Quảng Nam,Kayaking in the coconut forest,150000,Nature Exploration
6 December 2024,6:00 PM - 7:00 PM,Hoi An Night Market,Quảng Nam,Shopping and street food,50000,Nature Exploration
6 December 2024,9:00 PM - Overnight,Hoi An Ancient House Village Resort & Spa,Quảng Nam,Resting at the hotel,250000,Nature Exploration
5 December 2024,7:00 AM - 8:00 AM,Phở 323,Hà Nội,Eating breakfast,50000,Food Exploration
5 December 2024,8:30 AM - 12:00 PM,Hoi An Impression Theme Park,Quảng Nam,Exploring the theme park,150000,Food Exploration
5 December 2024,12:30 PM - 1:30 PM,Banh Mi Phuong,Quảng Nam,Eating iconic Banh Mi,40000,Food Exploration
5 December 2024,2:00 PM - 5:30 PM,Tra Que Organic Village Restaurant,Quảng Nam,Cooking class with fresh ingredients,200000,Food Exploration
5 December 2024,6:00 PM - 7:00 PM,Morning Glory Restaurant,Quảng Nam,Dinner with local specialties,150000,Food Exploration
5 December 2024,9:00 PM - Overnight,Hoi An Silk Village Resort & Spa,Quảng Nam,Resting at the hotel,250000,Food Exploration
6 December 2024,7:00 AM - 8:00 AM,Café Dinh,Hà Nội,Morning coffee,30000,Food Exploration
6 December 2024,9:00 AM - 12:00 PM,Hoi An Central Market,Quảng Nam,Exploring the local market,0,Food Exploration
6 December 2024,12:30 PM - 1:30 PM,Miss Ly Cafe,Quảng Nam,Lunch with traditional dishes,90000,Food Exploration
6 December 2024,2:00 PM - 5:30 PM,Reaching Out Tea House,Quảng Nam,Tea tasting and relaxation,80000,Food Exploration
6 December 2024,6:00 PM - 7:00 PM,Nu Eatery,Quảng Nam,Dinner with modern Vietnamese cuisine,120000,Food Exploration
6 December 2024,9:00 PM - Overnight,Hoi An Ancient House Village Resort & Spa,Quảng Nam,Resting at the hotel,250000,Food Exploration
5 December 2024,7:00 AM - 8:00 AM,Bún Bò Nam Bộ,Hà Nội,Eating breakfast,60000,Cultural Exploration
5 December 2024,9:00 AM - 12:00 PM,Assembly Hall of the Fujian Chinese,Quảng Nam,Exploring cultural heritage,50000,Cultural Exploration
5 December 2024,12:30 PM - 1:30 PM,Ancient Faifo Restaurant,Quảng Nam,Eating lunch with historical ambiance,100000,Cultural Exploration
5 December 2024,2:00 PM - 5:00 PM,Museum of Folk Culture,Quảng Nam,Exploring traditional artifacts,50000,Cultural Exploration
5 December 2024,6:00 PM - 8:00 PM,Hoi An Cultural Show,Quảng Nam,Immersive cultural performance,120000,Cultural Exploration
5 December 2024,9:00 PM - Overnight,Hoi An Lantern Hotel,Quảng Nam,Resting at the hotel,200000,Cultural Exploration
6 December 2024,7:00 AM - 8:00 AM,The Espresso Station,Quảng Nam,Morning coffee,40000,Cultural Exploration
6 December 2024,9:00 AM - 11:00 AM,Hoi An Museum,Quảng Nam,Exploring historical artifacts,70000,Cultural Exploration
6 December 2024,12:00 PM - 1:30 PM,Vy's Market Restaurant & Cooking School,Quảng Nam,Lunch and cooking class experience,150000,Cultural Exploration
6 December 2024,2:00 PM - 4:30 PM,Japanese Covered Bridge,Quảng Nam,Visiting iconic bridge,0,Cultural Exploration
6 December 2024,5:00 PM - 7:00 PM,Hoi An Night Market,Quảng Nam,Shopping and street food,50000,Cultural Exploration
6 December 2024,9:00 PM - Overnight,Hoi An Silk Village Resort & Spa,Quảng Nam,Resting at the hotel,250000,Cultural Exploration
