Ngày,Khung giờ,Địa điểm,Địa chỉ,Tỉnh/Thành phố,Hoạt động,Chi phí
2024-12-02,7:00 - 8:00,Nhà hàng chay Hương Sen,"73 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng",Đà Nẵng,Ăn sáng,"50,000 VND"
2024-12-02,9:00 - 11:00,Bãi biển Mỹ Khê,"Võ Nguyên Giáp, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Tham quan thiên nhiên,Miễn phí
2024-12-02,12:00 - 13:00,Quán ăn Hàn Quốc Ông Lei,"73 Đường Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng",Đà Nẵng,Ăn trưa,"150,000 VND"
2024-12-02,15:00 - 16:00,Cardi Pizzeria Đà Nẵng,"76 Đường 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng",Đà Nẵng,Nghỉ ngơi,Miễn phí
2024-12-02,18:00 - 19:00,Quán ăn Dim Sum,"45A Ng. Gia Tự, Hải Châu 1, Hải Châu, Đà Nẵng",Đà Nẵng,Ăn tối,"150,000 VND"
2024-12-03,7:00 - 8:00,Nhà hàng Bếp Xưa,"27 Nguyễn Chí Thanh, Thạch Thang, Hải Châu, Đà Nẵng",Đà Nẵng,Ăn sáng,"150,000 VND"
2024-12-03,9:00 - 11:00,Biển Mỹ Khê,"Võ Nguyên Giáp, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Tham quan thiên nhiên,Miễn phí
2024-12-03,12:00 - 13:00,Quán Cơm Bao Cấp,"299 Nguyễn Tất Thành, Thanh Bình, Hải Châu, Đà Nẵng",Đà Nẵng,Ăn trưa,"50,000 VND"
2024-12-03,15:00 - 16:00,Hải Sản Mộc Quán Đà Nẵng,"26 Tô Hiến Thành, Phước Mỹ, Sơn Trà, Đà Nẵng",Đà Nẵng,Nghỉ ngơi,Miễn phí
2024-12-03,18:00 - 19:00,Quán Huế T&C Food,"46 Hải Phòng, Thạch Thang, Hải Châu, Đà Nẵng",Đà Nẵng,Ăn tối,"50,000 VND"
2024-12-04,7:00 - 8:00,Nhà hàng chay Phúc An,"547 Nguyễn Tất Thành, P, Thanh Khê, Đà Nẵng",Đà Nẵng,Ăn sáng,"150,000 VND"
2024-12-04,9:00 - 11:00,Bảo tàng Mỹ Thuật Đà Nẵng,"78 Đường Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng",Đà Nẵng,Tham quan văn hóa,Miễn phí
2024-12-04,12:00 - 13:00,Quán Cơm Gia Đình - Món Huế - Tôn Nữ Quán,"383/9 Hải Phòng, Tân Chính, Thanh Khê, Đà Nẵng",Đà Nẵng,Ăn trưa,"50,000 VND"
2024-12-04,15:00 - 16:00,Công viên Kỳ Quan,"01 Lê Văn Duyệt, Nại Hiên Đông, Sơn Trà, Đà Nẵng",Đà Nẵng,Tham quan văn hóa,Miễn phí
2024-12-04,18:00 - 19:00,Nhà hàng Biển Việt,"64 An Thượng 26, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Ăn tối,Miễn phí
2024-12-02,Sáng,Nhà vọng cảnh,"Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam",Đà Nẵng,Tham quan thiên nhiên,Miễn phí
2024-12-02,Trưa,Nhà hàng Huế Ngon,"10 Lê Minh, An Đông, Huế, Thừa Thiên Huế 530000, Việt Nam",Huế,Ăn trưa,0.0
2024-12-02,Chiều,Thiên Thọ Lăng - Lăng Mộ Gia Long Đế,"Hương Thọ, Hương Trà, Thừa Thiên Huế, Việt Nam",Huế,Tham quan văn hóa,Miễn phí
2024-12-02,Tối,Bistro La Carambole,"18 Võ Thị Sáu, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam",Huế,Ăn tối,0.0
2024-12-02,Buổi tối,Madam Thu 2 - Huế Restaurant,"04 Võ Thị Sáu, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam",Huế,Thưởng thức ẩm thực,"150,000 VNĐ"
2024-12-03,Sáng,Công viên Thương Bạc,"Đường Trần Hưng Đạo, Phú Hoà, Huế, Thừa Thiên Huế, Việt Nam",Huế,Tham quan thiên nhiên,Miễn phí
2024-12-03,Trưa,Ngọc Môn,"Phú Hậu, Huế, Thừa Thiên Huế, Việt Nam",Huế,Tham quan văn hóa,Miễn phí
2024-12-03,Chiều,Phố Đi Bộ Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam",Huế,Tham quan văn hóa,Miễn phí
2024-12-03,Tối,Quán Hạnh,"11-15 Đường Phó Đức Chính, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam",Huế,Ăn tối,"150,000 VNĐ"
2024-12-03,Buổi tối,Nook Eatery-Breakfast to Burgers,"Kiệt 33 Kiệt 42 Nguyễn Công Trứ, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam",Huế,Thưởng thức ẩm thực,"150,000 VNĐ"
2024-12-04,Sáng,Làng Hương Thủy Xuân,"62 Huyền Trân Công Chúa, Thủy Xuân, Huế, Thừa Thiên Huế, Việt Nam",Huế,Tham quan văn hóa,Miễn phí
2024-12-04,Trưa,Bún Bò Bà Nga,"62 Nguyễn Chí Diểu, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam",Huế,Ăn trưa,"50,000 VNĐ"
2024-12-04,Chiều,Đại Nội,"Phú Hậu, Tp. Huế, Thừa Thiên Huế, Việt Nam",Huế,Tham quan văn hóa,"156,480 VNĐ"
